object,blurLevel,exposureLevel,noiseLevel,chamferDistance,F0.1,F0.2,F0.5
burrito,none,none,none,0.09051387012004852,0.24128906428813934,0.5535279512405396,1.0
burrito,low,none,none,0.06970508396625519,0.20931531488895416,0.6134153008460999,1.0
burrito,high,none,none,0.0727953165769577,0.1767016053199768,0.5159703493118286,1.0
burrito,none,none,low,0.03699116408824921,0.50678950548172,0.8245059251785278,1.0
burrito,none,none,high,0.04286126047372818,0.4521245062351227,0.8287520408630371,1.0
burrito,none,low,none,0.07503817975521088,0.2873650789260864,0.6446367502212524,1.0
burrito,none,high,none,0.08484052121639252,0.1958419233560562,0.5647669434547424,0.9997863173484802
fork,none,none,none,0.4751715660095215,0.08993303775787354,0.19532951712608337,0.6096367835998535
fork,low,none,none,0.3092211186885834,0.17778190970420837,0.3191828429698944,0.7064216732978821
fork,high,none,none,0.3821207880973816,0.14978766441345215,0.2845107614994049,0.6716139316558838
fork,none,none,low,0.442354679107666,0.08934096246957779,0.23025739192962646,0.6290795803070068
fork,none,none,high,0.32359790802001953,0.1591920405626297,0.3094335198402405,0.7217431664466858
fork,none,low,none,0.5136903524398804,0.09087429940700531,0.15841491520404816,0.5688167810440063
fork,none,high,none,0.729677677154541,0.026212217286229134,0.0383320227265358,0.27979737520217896
rubik_cube,none,none,none,0.03992599993944168,0.45631295442581177,0.8575055599212646,1.0
rubik_cube,low,none,none,0.050567883998155594,0.36021706461906433,0.7789016962051392,0.999847412109375
rubik_cube,high,none,none,0.09004834294319153,0.22958694398403168,0.5914046764373779,0.9858248233795166
rubik_cube,none,none,low,0.047897063195705414,0.3998139202594757,0.8136762380599976,0.9992058873176575
rubik_cube,none,none,high,0.0494767501950264,0.3747495114803314,0.808552086353302,0.9985023736953735
rubik_cube,none,low,none,0.05001118779182434,0.411864697933197,0.7974643111228943,0.9985635876655579
rubik_cube,none,high,none,0.06391884386539459,0.3527567982673645,0.7444649934768677,0.9938898682594299
dinosaur,none,none,none,0.05313912406563759,0.47217950224876404,0.7853821516036987,0.9871414303779602
dinosaur,low,none,none,0.03134993091225624,0.5662948489189148,0.8944008946418762,1.0
dinosaur,high,none,none,0.0408758670091629,0.4220561385154724,0.8391488790512085,1.0
dinosaur,none,none,low,0.05879855155944824,0.2698574960231781,0.7205638885498047,0.9980430603027344
dinosaur,none,none,high,0.11125794053077698,0.15486706793308258,0.48436304926872253,0.9831181764602661
dinosaur,none,low,none,0.04676780477166176,0.5003260374069214,0.8113928437232971,0.9921259880065918
dinosaur,none,high,none,0.05047537386417389,0.4919569194316864,0.7972183227539062,0.9970617294311523
green_bean_cake,none,none,none,0.05291493982076645,0.4805617928504944,0.7821353673934937,0.9990224838256836
green_bean_cake,low,none,none,0.11024948954582214,0.1454661339521408,0.3899005651473999,1.0
green_bean_cake,high,none,none,0.10326151549816132,0.16013336181640625,0.3839145302772522,1.0
green_bean_cake,none,none,low,0.05583435297012329,0.3960505723953247,0.7407752871513367,1.0
green_bean_cake,none,none,high,0.05106815695762634,0.39380812644958496,0.8398642539978027,0.9970617294311523
green_bean_cake,none,low,none,0.058142468333244324,0.39018577337265015,0.7547222375869751,1.0
green_bean_cake,none,high,none,0.06548570841550827,0.3487898111343384,0.7298442721366882,0.9980430603027344
skateboard,none,none,none,0.1993555724620819,0.0700555071234703,0.402820348739624,0.8956813812255859
skateboard,low,none,none,0.2489253282546997,0.012411483563482761,0.35172468423843384,0.837446928024292
skateboard,high,none,none,0.2894643247127533,0.017748786136507988,0.19068877398967743,0.814601719379425
skateboard,none,none,low,0.1650695502758026,0.16142751276493073,0.5784736275672913,0.9033117294311523
skateboard,none,none,high,0.20185039937496185,0.18825754523277283,0.5036419630050659,0.8892921805381775
skateboard,none,low,none,0.20716339349746704,0.0890093445777893,0.37568432092666626,0.8924518823623657
skateboard,none,high,none,0.18945589661598206,0.18677128851413727,0.5000179409980774,0.8714718818664551
pastry,none,none,none,0.2074398249387741,0.20254985988140106,0.4320680499076843,0.8455467820167542
pastry,low,none,none,0.13042670488357544,0.19684748351573944,0.47954824566841125,0.9600188136100769
pastry,high,none,none,0.26607921719551086,0.14761365950107574,0.34474265575408936,0.7946451902389526
pastry,none,none,low,0.11125656962394714,0.21679073572158813,0.5453287363052368,0.9990224838256836
pastry,none,none,high,0.10497459769248962,0.20744286477565765,0.5034178495407104,0.9983799457550049
pastry,none,low,none,0.12597842514514923,0.2001369297504425,0.5031212568283081,0.9724863171577454
pastry,none,high,none,0.27001988887786865,0.13293054699897766,0.3112329840660095,0.770147442817688
conch,none,none,none,0.08189976960420609,0.45094066858291626,0.7507469654083252,0.9696699380874634
conch,low,none,none,0.10867103189229965,0.26031938195228577,0.5392568707466125,0.9802512526512146
conch,high,none,none,0.10611728578805923,0.24408568441867828,0.5394904613494873,0.9759613871574402
conch,none,none,low,0.06827327609062195,0.49060773849487305,0.786019504070282,0.9838477373123169
conch,none,none,high,0.0805211067199707,0.4601171910762787,0.7133659720420837,0.9782976508140564
conch,none,low,none,0.08456374704837799,0.40462782979011536,0.7421593070030212,0.965277373790741
conch,none,high,none,0.10593967139720917,0.21147577464580536,0.4989156126976013,0.9763518571853638
chess,none,none,none,0.2635813057422638,0.14860214293003082,0.35886266827583313,0.8030222654342651
chess,low,none,none,0.2122536599636078,0.1791788637638092,0.3804614841938019,0.8659975528717041
chess,high,none,none,0.2081383913755417,0.1761586219072342,0.4072195887565613,0.8638705611228943
chess,none,none,low,0.21346227824687958,0.20750769972801208,0.4169071912765503,0.8794262409210205
chess,none,none,high,0.2154710590839386,0.1846764236688614,0.4008062183856964,0.8692604899406433
chess,none,low,none,0.23925507068634033,0.12913893163204193,0.3089308440685272,0.831750750541687
chess,none,high,none,0.25048738718032837,0.1257602721452713,0.2942982614040375,0.8280056118965149
